"instance_type","vcpu","mem_gib","network_bandwidth_gbps","storage_bandwidth_iops","threads_per_vcpu","max_clock_frequency_ghz","bare_metal_tenancy","efa_latency_microseconds","direct_nvme_latency_microseconds","ondemand_hourly_cost_usd","spot_max_discount_pct"
"t3.nano",2,0.5,5.0,2090,1,3.1,0,0,0,0.0052,90
"t3.micro",2,1.0,5.0,2090,1,3.1,0,0,0,0.0104,90
"t3.small",2,2.0,5.0,2090,1,3.1,0,0,0,0.0208,90
"t3.medium",2,4.0,5.0,2780,1,3.1,0,0,0,0.0416,90
"t3.large",2,8.0,5.0,5570,1,3.1,0,0,0,0.0832,90
"t3.xlarge",4,16.0,5.0,11800,1,3.1,0,0,0,0.1664,90
"t3.2xlarge",8,32.0,5.0,18700,1,3.1,0,0,0,0.3328,90
"t4g.nano",2,0.5,5.0,2090,1,3.0,0,0,0,0.0042,90
"t4g.micro",2,1.0,5.0,2090,1,3.0,0,0,0,0.0084,90
"t4g.small",2,2.0,5.0,2090,1,3.0,0,0,0,0.0168,90
"t4g.medium",2,4.0,5.0,2780,1,3.0,0,0,0,0.0336,90
"t4g.large",2,8.0,5.0,5570,1,3.0,0,0,0,0.0672,90
"t4g.xlarge",4,16.0,5.0,11800,1,3.0,0,0,0,0.1344,90
"t4g.2xlarge",8,32.0,5.0,18700,1,3.0,0,0,0,0.2688,90
"c6i.large",2,4.0,12.5,40000,1,3.5,0,100,0,0.0850,90
"c6i.xlarge",4,8.0,12.5,40000,1,3.5,0,100,0,0.1700,90
"c6i.2xlarge",8,16.0,12.5,40000,1,3.5,0,100,0,0.3400,90
"c6i.4xlarge",16,32.0,12.5,40000,1,3.5,0,100,0,0.6800,90
"c6i.8xlarge",32,64.0,12.5,40000,1,3.5,0,100,0,1.3600,90
"c6i.12xlarge",48,96.0,18.75,60000,1,3.5,0,100,0,2.0400,90
"c6i.16xlarge",64,128.0,25.0,80000,1,3.5,0,100,0,2.7200,90
"c6i.24xlarge",96,192.0,37.5,80000,1,3.5,0,100,0,4.0800,90
"c6i.32xlarge",128,256.0,50.0,80000,1,3.5,0,100,0,5.4400,90
"c7g.medium",1,2.0,12.5,40000,1,3.0,0,100,0,0.0361,90
"c7g.large",2,4.0,12.5,40000,1,3.0,0,100,0,0.0723,90
"c7g.xlarge",4,8.0,12.5,40000,1,3.0,0,100,0,0.1445,90
"c7g.2xlarge",8,16.0,12.5,40000,1,3.0,0,100,0,0.2890,90
"c7g.4xlarge",16,32.0,12.5,40000,1,3.0,0,100,0,0.5780,90
"c7g.8xlarge",32,64.0,15.0,50000,1,3.0,0,100,0,1.1560,90
"c7g.12xlarge",48,96.0,22.5,60000,1,3.0,0,100,0,1.7340,90
"c7g.16xlarge",64,128.0,30.0,80000,1,3.0,0,100,0,2.3120,90
"m6i.large",2,8.0,12.5,40000,1,3.5,0,100,0,0.0960,90
"m6i.xlarge",4,16.0,12.5,40000,1,3.5,0,100,0,0.1920,90
"m6i.2xlarge",8,32.0,12.5,40000,1,3.5,0,100,0,0.3840,90
"m6i.4xlarge",16,64.0,12.5,40000,1,3.5,0,100,0,0.7680,90
"m6i.8xlarge",32,128.0,12.5,40000,1,3.5,0,100,0,1.5360,90
"m6i.12xlarge",48,192.0,18.75,60000,1,3.5,0,100,0,2.3040,90
"m6i.16xlarge",64,256.0,25.0,80000,1,3.5,0,100,0,3.0720,90
"m6i.24xlarge",96,384.0,37.5,80000,1,3.5,0,100,0,4.6080,90
"m6i.32xlarge",128,512.0,50.0,80000,1,3.5,0,100,0,6.1440,90
"m7g.medium",1,4.0,12.5,40000,1,3.0,0,100,0,0.0404,90
"m7g.large",2,8.0,12.5,40000,1,3.0,0,100,0,0.0808,90
"m7g.xlarge",4,16.0,12.5,40000,1,3.0,0,100,0,0.1616,90
"m7g.2xlarge",8,32.0,12.5,40000,1,3.0,0,100,0,0.3232,90
"m7g.4xlarge",16,64.0,12.5,40000,1,3.0,0,100,0,0.6464,90
"m7g.8xlarge",32,128.0,15.0,50000,1,3.0,0,100,0,1.2928,90
"m7g.12xlarge",48,192.0,22.5,60000,1,3.0,0,100,0,1.9392,90
"m7g.16xlarge",64,256.0,30.0,80000,1,3.0,0,100,0,2.5856,90
"r6i.large",2,16.0,12.5,40000,1,3.5,0,100,0,0.1260,90
"r6i.xlarge",4,32.0,12.5,40000,1,3.5,0,100,0,0.2520,90
"r6i.2xlarge",8,64.0,12.5,40000,1,3.5,0,100,0,0.5040,90
"r6i.4xlarge",16,128.0,12.5,40000,1,3.5,0,100,0,1.0080,90
"r6i.8xlarge",32,256.0,12.5,40000,1,3.5,0,100,0,2.0160,90
"r6i.12xlarge",48,384.0,18.75,60000,1,3.5,0,100,0,3.0240,90
"r6i.16xlarge",64,512.0,25.0,80000,1,3.5,0,100,0,4.0320,90
"r6i.24xlarge",96,768.0,37.5,80000,1,3.5,0,100,0,6.0480,90
"r6i.32xlarge",128,1024.0,50.0,80000,1,3.5,0,100,0,8.0640,90
"r7g.medium",1,8.0,12.5,40000,1,3.0,0,100,0,0.0537,90
"r7g.large",2,16.0,12.5,40000,1,3.0,0,100,0,0.1074,90
"r7g.xlarge",4,32.0,12.5,40000,1,3.0,0,100,0,0.2148,90
"r7g.2xlarge",8,64.0,12.5,40000,1,3.0,0,100,0,0.4296,90
"r7g.4xlarge",16,128.0,12.5,40000,1,3.0,0,100,0,0.8592,90
"r7g.8xlarge",32,256.0,15.0,50000,1,3.0,0,100,0,1.7184,90
"r7g.12xlarge",48,384.0,22.5,60000,1,3.0,0,100,0,2.5776,90
"r7g.16xlarge",64,512.0,30.0,80000,1,3.0,0,100,0,3.4368,90
"i4i.large",2,16.0,12.5,40000,1,3.5,0,100,50,0.1870,90
"i4i.xlarge",4,32.0,12.5,40000,1,3.5,0,100,50,0.3740,90
"i4i.2xlarge",8,64.0,12.5,40000,1,3.5,0,100,50,0.7480,90
"i4i.4xlarge",16,128.0,12.5,40000,1,3.5,0,100,50,1.4960,90
"i4i.8xlarge",32,256.0,18.75,60000,1,3.5,0,100,50,2.9920,90
"i4i.16xlarge",64,512.0,37.5,80000,1,3.5,0,100,50,5.9840,90
"i4i.32xlarge",128,1024.0,75.0,80000,1,3.5,0,100,50,11.9680,90
"g5.xlarge",4,16.0,10.0,40000,1,3.5,0,100,0,1.0060,90
"g5.2xlarge",8,32.0,10.0,40000,1,3.5,0,100,0,1.2120,90
"g5.4xlarge",16,64.0,12.5,40000,1,3.5,0,100,0,1.6240,90
"g5.8xlarge",32,128.0,12.5,40000,1,3.5,0,100,0,2.4480,90
"g5.12xlarge",48,192.0,20.0,60000,1,3.5,0,100,0,5.6720,90
