"instance_type","vcpu","mem_gib","network_bandwidth_gbps","baseline_bandwidth_gbps","storage_bandwidth_iops","threads_per_vcpu","max_clock_frequency_ghz","bare_metal_tenancy","efa_latency_microseconds","direct_nvme_latency_microseconds","ondemand_hourly_cost_usd","spot_max_discount_pct"
"t3.nano",2,0.5,5.0,0.032,2090,1,3.1,0,0,0,0.0052,90
"t3.micro",2,1,5.0,0.064,2090,1,3.1,0,0,0,0.0104,90
"t3.small",2,2,5.0,0.128,2090,1,3.1,0,0,0,0.0208,90
"t3.medium",2,4,5.0,0.192,2780,1,3.1,0,0,0,0.0416,90
"t3.large",2,8,5.0,0.384,5570,1,3.1,0,0,0,0.0832,90
"t3.xlarge",4,16,5.0,0.768,11800,1,3.1,0,0,0,0.1664,90
"t3.2xlarge",8,32,5.0,1.537,18700,1,3.1,0,0,0,0.3328,90
"t4g.nano",2,0.5,5.0,0.032,2090,1,3,0,0,0,0.0042,90
"t4g.micro",2,1,5.0,0.064,2090,1,3,0,0,0,0.0084,90
"t4g.small",2,2,5.0,0.128,2090,1,3,0,0,0,0.0168,90
"t4g.medium",2,4,5.0,0.192,2780,1,3,0,0,0,0.0336,90
"t4g.large",2,8,5.0,0.384,5570,1,3,0,0,0,0.0672,90
"t4g.xlarge",4,16,5.0,0.768,11800,1,3,0,0,0,0.1344,90
"t4g.2xlarge",8,32,5.0,1.537,18700,1,3,0,0,0,0.2688,90
"c6i.large",2,4,12.5,0.781,40000,1,3.5,0,100,0,0.085,90
"c6i.xlarge",4,8,12.5,1.562,40000,1,3.5,0,100,0,0.17,90
"c6i.2xlarge",8,16,12.5,3.125,40000,1,3.5,0,100,0,0.34,90
"c6i.4xlarge",16,32,12.5,6.25,40000,1,3.5,0,100,0,0.68,90
"c6i.8xlarge",32,64,12.5,12.5,40000,1,3.5,0,100,0,1.36,90
"c6i.12xlarge",48,96,18.75,18.75,60000,1,3.5,0,100,0,2.04,90
"c6i.16xlarge",64,128,25.0,25.0,80000,1,3.5,0,100,0,2.72,90
"c6i.24xlarge",96,192,37.5,37.5,80000,1,3.5,0,100,0,4.08,90
"c6i.32xlarge",128,256,50.0,50.0,80000,1,3.5,0,100,0,5.44,90
"c7g.medium",1,2,12.5,0.52,40000,1,3,0,100,0,0.0361,90
"c7g.large",2,4,12.5,0.937,40000,1,3,0,100,0,0.0723,90
"c7g.xlarge",4,8,12.5,1.876,40000,1,3,0,100,0,0.1445,90
"c7g.2xlarge",8,16,15.0,3.75,40000,1,3,0,100,0,0.289,90
"c7g.4xlarge",16,32,15.0,7.5,40000,1,3,0,100,0,0.578,90
"c7g.8xlarge",32,64,15.0,15.0,50000,1,3,0,100,0,1.156,90
"c7g.12xlarge",48,96,22.5,22.5,60000,1,3,0,100,0,1.734,90
"c7g.16xlarge",64,128,30.0,30.0,80000,1,3,0,100,0,2.312,90
"m6i.large",2,8,12.5,0.781,40000,1,3.5,0,100,0,0.096,90
"m6i.xlarge",4,16,12.5,1.562,40000,1,3.5,0,100,0,0.192,90
"m6i.2xlarge",8,32,12.5,3.125,40000,1,3.5,0,100,0,0.384,90
"m6i.4xlarge",16,64,12.5,6.25,40000,1,3.5,0,100,0,0.768,90
"m6i.8xlarge",32,128,12.5,12.5,40000,1,3.5,0,100,0,1.536,90
"m6i.12xlarge",48,192,18.75,18.75,60000,1,3.5,0,100,0,2.304,90
"m6i.16xlarge",64,256,25.0,25.0,80000,1,3.5,0,100,0,3.072,90
"m6i.24xlarge",96,384,37.5,37.5,80000,1,3.5,0,100,0,4.608,90
"m6i.32xlarge",128,512,50.0,50.0,80000,1,3.5,0,100,0,6.144,90
"m7g.medium",1,4,12.5,0.52,40000,1,3,0,100,0,0.0404,90
"m7g.large",2,8,12.5,0.937,40000,1,3,0,100,0,0.0808,90
"m7g.xlarge",4,16,12.5,1.876,40000,1,3,0,100,0,0.1616,90
"m7g.2xlarge",8,32,15.0,3.75,40000,1,3,0,100,0,0.3232,90
"m7g.4xlarge",16,64,15.0,7.5,40000,1,3,0,100,0,0.6464,90
"m7g.8xlarge",32,128,15.0,15.0,50000,1,3,0,100,0,1.2928,90
"m7g.12xlarge",48,192,22.5,22.5,60000,1,3,0,100,0,1.9392,90
"m7g.16xlarge",64,256,30.0,30.0,80000,1,3,0,100,0,2.5856,90
"r6i.large",2,16,12.5,0.781,40000,1,3.5,0,100,0,0.126,90
"r6i.xlarge",4,32,12.5,1.562,40000,1,3.5,0,100,0,0.252,90
"r6i.2xlarge",8,64,12.5,3.125,40000,1,3.5,0,100,0,0.504,90
"r6i.4xlarge",16,128,12.5,6.25,40000,1,3.5,0,100,0,1.008,90
"r6i.8xlarge",32,256,12.5,12.5,40000,1,3.5,0,100,0,2.016,90
"r6i.12xlarge",48,384,18.75,18.75,60000,1,3.5,0,100,0,3.024,90
"r6i.16xlarge",64,512,25.0,25.0,80000,1,3.5,0,100,0,4.032,90
"r6i.24xlarge",96,768,37.5,37.5,80000,1,3.5,0,100,0,6.048,90
"r6i.32xlarge",128,1024,50.0,50.0,80000,1,3.5,0,100,0,8.064,90
"r7g.medium",1,8,10.0,0.5,40000,1,3,0,100,0,0.0537,90
"r7g.large",2,16,10.0,0.75,40000,1,3,0,100,0,0.1074,90
"r7g.xlarge",4,32,10.0,1.25,40000,1,3,0,100,0,0.2148,90
"r7g.2xlarge",8,64,10.0,2.5,40000,1,3,0,100,0,0.4296,90
"r7g.4xlarge",16,128,10.0,5.0,40000,1,3,0,100,0,0.8592,90
"r7g.8xlarge",32,256,12.0,12.0,50000,1,3,0,100,0,1.7184,90
"r7g.12xlarge",48,384,20.0,20.0,60000,1,3,0,100,0,2.5776,90
"r7g.16xlarge",64,512,25.0,25.0,80000,1,3,0,100,0,3.4368,90
"i4i.large",2,16,10.0,0.781,40000,1,3.5,0,100,50,0.187,90
"i4i.xlarge",4,32,10.0,1.875,40000,1,3.5,0,100,50,0.374,90
"i4i.2xlarge",8,64,12.0,4.687,40000,1,3.5,0,100,50,0.748,90
"i4i.4xlarge",16,128,25.0,9.375,40000,1,3.5,0,100,50,1.496,90
"i4i.8xlarge",32,256,18.75,18.75,60000,1,3.5,0,100,50,2.992,90
"i4i.16xlarge",64,512,37.5,37.5,80000,1,3.5,0,100,50,5.984,90
"i4i.32xlarge",128,1024,75.0,75.0,80000,1,3.5,0,100,50,11.968,90
"g5.xlarge",4,16,10.0,2.5,40000,1,3.5,0,100,0,1.006,90
"g5.2xlarge",8,32,10.0,5.0,40000,1,3.5,0,100,0,1.212,90
"g5.4xlarge",16,64,25.0,10.0,40000,1,3.5,0,100,0,1.624,90
"g5.8xlarge",32,128,25.0,25.0,40000,1,3.5,0,100,0,2.448,90
"g5.12xlarge",48,192,40.0,40.0,60000,1,3.5,0,100,0,5.672,90
"g5.16xlarge",64,256,25.0,25.0,80000,1,3.5,0,100,0,4.896,90
"g5.24xlarge",96,384,50.0,50.0,80000,1,3.5,0,100,0,8.144,90
"g5.48xlarge",192,768,100.0,100.0,80000,1,3.5,0,100,0,16.288,90
"p4d.24xlarge",96,1152,400.0,400.0,80000,1,3.5,0,10,50,32.7726,90
